timestamp_ms,event,details
686,batch_start,ThreadId(17) files=1 pred=0.00s items=[tests/diagnostics/const-to-nodiff-function-diagnostic-improvement.slang(0.00s)]
686,batch_start,ThreadId(19) files=1 pred=0.01s items=[tests/diagnostics/discard-in-rt.slang(0.01s)]
686,batch_start,ThreadId(20) files=1 pred=0.02s items=[tests/diagnostics/hlsl-to-vulkan-shift-diagnostic.hlsl(0.02s)]
686,batch_start,ThreadId(18) files=1 pred=0.01s items=[tests/diagnostics/recursive-import.slang(0.01s)]
686,batch_start,ThreadId(12) files=100 pred=7.58s items=[tests/diagnostics/rich-diag-test.slang(0.11s) tests/diagnostics/illegal-func-decl.slang.0(0.50s) tests/diagnostics/global-uniform.slang.0(0.50s) tests/diagnostics/internal-visibility/this-module.slang(0.02s) tests/diagnostics/generic-constraint-equality-right-hand-side.slang(0.02s) tests/diagnostics/generic-invalid-type-specialization.slang(0.03s) tests/diagnostics/const-to-nodiff-function-diagnostic-improvement1.slang(0.06s) tests/diagnostics/missing-include-file.slang(0.01s) tests/diagnostics/image-format-unsupported-by-backend.slang.0(0.50s) tests/diagnostics/undefined-in-preprocessor-conditional.slang(0.03s) tests/diagnostics/undefined-identifier.slang(0.04s) tests/diagnostics/syntax-error-op-line.slang.1(0.50s) tests/diagnostics/command-line/explicit-implicit-stage-mismatch.vert(0.00s) tests/diagnostics/extension-full-name.slang(0.01s) tests/diagnostics/global-uniform.slang.1(0.50s) tests/diagnostics/syntax-error-op-line-3.slang.3(0.50s) tests/diagnostics/syntax-error-op-line.slang.3(0.50s) tests/diagnostics/mesh-shader-invalid-output-topology.slang.7(0.50s) tests/diagnostics/command-line/unknown-profile.slang(0.11s) tests/diagnostics/missing-override.slang(0.01s) tests/diagnostics/bad-operator-call.slang(0.02s) tests/diagnostics/command-line/output-no-target.slang(0.04s) tests/diagnostics/command-line/stage-ignored.slang(0.17s) tests/diagnostics/interfaces/mutating-impl-of-non-mutating-req.slang(0.06s) tests/diagnostics/generic-constraint-forward-reference.slang(0.02s) tests/diagnostics/syntax-error-intrinsic.slang.3(0.50s) tests/diagnostics/non-standard-extension.slang(0.06s) tests/diagnostics/pragma-warning-single-file.slang(0.05s) tests/diagnostics/autodiff-data-flow.slang(0.05s) tests/diagnostics/unreachable-code.slang(0.03s) tests/diagnostics/transitive-namespace-import.slang/test.slang(0.03s) tests/diagnostics/local-used-in-own-declaration.slang(0.01s) tests/diagnostics/discard-in-compute.slang(0.01s) tests/diagnostics/command-line/unknown-source-language.slang(0.13s) tests/diagnostics/invalid-paq-stage-names.slang(0.00s) tests/diagnostics/interfaces/interface-override.slang(0.11s) tests/diagnostics/command-line/separate-debug-info-unsupported-glsl.slang(0.02s) tests/diagnostics/switch-multiple-defaults.slang(0.05s) tests/diagnostics/autodiff-data-flow-3.slang(0.02s) tests/diagnostics/division-by-matrix.slang.1(0.50s) tests/diagnostics/sv-semantic-mesh.slang(0.02s) tests/diagnostics/unrecognized-glsl-layout-modifiers.slang(0.02s) tests/diagnostics/uninitialized-globals.slang(0.02s) tests/diagnostics/token-line-continuation.slang(0.00s) tests/diagnostics/entry-point-stage-mismatch.slang(0.05s) tests/diagnostics/variable-void-type.slang(0.01s) tests/diagnostics/const-ref-differentiable-param.slang(0.07s) tests/diagnostics/array-neg-size.slang(0.04s) tests/diagnostics/gh-1374.slang(0.08s) tests/diagnostics/uninitialized-variable-name-in-error-message.slang(0.02s) tests/diagnostics/property-readonly-lvalue.slang(0.03s) tests/diagnostics/array-out-of-bounds.slang(0.02s) tests/diagnostics/nested-struct-with-unbounded.slang(0.01s) tests/diagnostics/vk-bindings.slang(0.02s) tests/diagnostics/sv-semantic-unknown.slang(0.02s) tests/diagnostics/array-of-struct-with-parameterblock.slang(0.01s) tests/diagnostics/generic-incorrect-default-arg.slang(0.01s) tests/diagnostics/structuredbuffer-resource-struct-recursive-mutual.slang(0.02s) tests/diagnostics/command-line/x-arg-tool-unknown.slang(0.01s) tests/diagnostics/generic-constraint-left-hand-side.slang(0.03s) tests/diagnostics/command-line/duplicate-output.slang(0.00s) tests/diagnostics/structured-buffer-parameterblock.slang(0.01s) tests/diagnostics/invalid-tuple.slang(0.01s) tests/diagnostics/unbound-loop.slang(0.01s) tests/diagnostics/single-target-intrinsic.slang(0.13s) tests/diagnostics/variable-redeclaration.slang(0.09s) tests/diagnostics/global-const-uniform-with-init.slang(0.01s) tests/diagnostics/cuda-kernel-differentiable-params.slang(0.01s) tests/diagnostics/sv-semantic-wrong-stage.slang(0.01s) tests/diagnostics/command-line/pass-through-no-stage.hlsl(0.02s) tests/diagnostics/vk-binding-with-register-no-warning.slang(0.01s) tests/diagnostics/deprecation.slang(0.03s) tests/diagnostics/int-literal.slang(0.02s) tests/diagnostics/assign-in-if.slang(0.02s) tests/diagnostics/generic-value-parameter-must-have-type.slang(0.00s) tests/diagnostics/command-line/unknown-pass-through-target.slang(0.06s) tests/diagnostics/enum-implicit-conversion.slang(0.00s) tests/diagnostics/extension-interface-requirement.slang(0.01s) tests/diagnostics/implicit-cast-lvalue.slang(0.02s) tests/diagnostics/if-empty-body.slang(0.01s) tests/diagnostics/command-line/unknown-stage.slang(0.01s) tests/diagnostics/accessors.slang(0.01s) tests/diagnostics/vk-offset.slang(0.02s) tests/diagnostics/ctor-ordinary-retval-legal.slang(0.00s) tests/diagnostics/size-of.slang(0.01s) tests/diagnostics/modifier-check.slang(0.00s) tests/diagnostics/autodiff-custom-diff-unresolved.slang(0.01s) tests/diagnostics/parameter-already-defined.slang(0.01s) tests/diagnostics/hlsl-global-const-with-init-still-errors.slang(0.01s) tests/diagnostics/uninitialized-use-functions.slang(0.01s) tests/diagnostics/arrow-operator.slang(0.01s) tests/diagnostics/array-parameterblock-direct.slang(0.01s) tests/diagnostics/custom-derivative-generic.slang(0.00s) tests/diagnostics/unbounded-array-nonaddressable.slang(0.03s) tests/diagnostics/static-ref-to-nonstatic-member-2.slang(0.00s) tests/diagnostics/expected-token.slang(0.01s) tests/diagnostics/illegal-character.slang(0.02s) tests/diagnostics/structuredbuffer-resource.slang(0.00s) tests/diagnostics/expected-token-eof.slang(0.02s) tests/diagnostics/autodiff-primal-substitute.slang(0.01s)]
686,batch_start,ThreadId(29) files=1 pred=0.00s items=[tests/diagnostics/command-line/unknown-codegen-target.slang(0.00s)]
686,batch_start,ThreadId(30) files=1 pred=0.01s items=[tests/diagnostics/command-line/duplicate-target.slang(0.01s)]
686,batch_start,ThreadId(23) files=1 pred=0.00s items=[tests/diagnostics/array-of-struct-with-unbounded.slang(0.00s)]
686,batch_start,ThreadId(32) files=1 pred=0.00s items=[tests/diagnostics/raypayload-missing-access-qualifiers.slang(0.00s)]
686,batch_start,ThreadId(24) files=1 pred=0.00s items=[tests/diagnostics/command-line/separate-debug-info-unsupported-target.slang(0.00s)]
